,model_num,shape,location,scale,rmse,frac,tau_glacial,tau_bedrock,tau_total,exp_scale,wei_shape,wei_scale,inv_exp_scale,tau_div_por
Assabet,1,5.423245024916962,-5.844461547205674,9.051507533169142,0.08950175122224464,0.191,2.169639,62.662268,14.156905,0.09193592217636566,0.6649544577629637,26.1561836652949,10.877141125333424,10.848195
Board2,2,8.149338436522854,-2.683209220967558,9.35417237930721,0.07892743202323818,0.041,84.460095,713.063063,113.872331,0.0023641177517615313,0.9345609236776082,810.6161032680313,422.99077499624906,422.30047499999995
CONN,3,8.2740731315636,-6.417252095929262,8.892482492870052,0.0166024101858125,0.017,2.140655,638.479563,13.031011,0.09328702648206226,0.9970964006643274,12.182433848891778,10.7196041905386,10.703275
Kala2,4,6.871965495957207,-2.1753630964535033,7.746029152182662,0.08714768911276982,0.177,28.691806,120.578353,50.056371,0.006915978256703765,0.9638517806493464,270.85744797675386,144.59270444216398,143.45902999999998
MO_U16_Mississippi,5,6.219877915544801,-3.7899117634124004,8.990237452106712,0.06504821890046585,0.472,21.128911,63.328676,51.025379,0.009445491185652431,0.7580109847991094,189.3962500848456,105.87061914990572,105.64455499999998
NorthSkunk,6,8.233009901516157,-4.783589209753876,9.834928788879044,0.07394779838716023,0.854,17.980532,29.767426,43.408657,0.011112779703709535,0.8973765547445538,160.61260884857307,89.98648642933072,89.90266
Oconto,7,8.465865940555448,-4.554362169598424,9.819285672451198,0.042676882976597254,0.092,27.146863,334.245111,57.738806,0.007361609366482199,0.9224987506081243,198.55707138420226,135.8398619401151,135.73431499999998
Racoon,8,6.557051458998613,-4.21777396104007,9.477473337640767,0.04479380642657972,0.041,26.73554,918.651402,64.827936,0.0074724195707965724,0.7545763455198562,200.56321127295718,133.82546182339146,133.6777
SugarCreek,9,6.752016378083817,-3.0271689048317234,8.142250215648602,0.03667064788960129,0.345,26.150265,51.071685,43.753506,0.007619883021969772,0.9022343067341091,172.21006856192076,131.23561045711378,130.751325
Tomorrow,10,6.6569494010489425,-1.8268439234852845,7.331307524273569,0.06258467548845502,0.628,33.359141,52.072692,66.070003,0.005938125775277588,0.9890809880450755,253.55743271122873,168.40330397906624,166.795705
Upper_fox,11,8.044223832824267,-3.4082175552747254,9.074975813985263,0.06908189896711799,0.749,35.131876,34.462035,60.93077,0.005682087176533767,0.9517413173853114,296.9175727700926,175.9916680141518,175.65937999999997
Whitedam3,12,8.489151469869078,-5.137247760333014,10.598590671060256,0.24463408801586972,0.602,5.229882,39.666122,29.101419,0.03815611906516757,0.8568631572759381,242.11699804078387,26.208116142317326,26.14941
IA_Willow_02,13,4.107287133262333,2.48943629087883,4.628567940182853,0.07458353812772468,0.018,140.391759,2948.938911,193.725962,0.0012224080341017793,1.0155953289429902,1296.8819354759369,818.0574506243295,701.958795
IL_West_Fork_Mazon_03,14,7.217239154103851,-3.651465277548575,8.874310334517961,0.05374199001682218,0.293,24.829041,114.581525,58.369375,0.00803824390622853,0.8801706884646933,191.534426696531,124.40528200757107,124.14520499999999
MN_Talcot_Lake-Des_Moines_04,15,8.420818237168135,-0.2740975845587736,7.419138198516115,0.06204458093609474,0.61,189.601815,104.887011,253.55033,0.0010462755983890644,1.214868417607432,1293.3708681632527,955.7711195211718,948.0090749999999
MO_Wildcat_02,16,7.970065429194716,-3.6889112921902405,9.291824060636369,0.09218934980212734,0.563,27.354358,70.267257,66.886434,0.0072980707773374455,0.9215569550150042,278.86922830205754,137.02251327916414,136.77179
NE_Upper_Logan_Creek_02,17,3.4700200887879067,3.17878595515629,3.190817282584423,0.035326149278319466,0.273,82.157918,227.557732,144.357919,0.0015906686737234483,1.2711267581411256,612.1727083720893,628.6664322490195,410.78959
NY_Ramapo_02,18,6.157866793976094,-5.54184580272486,9.599488382108573,0.13585131176693652,0.358,3.032427,32.848571,14.806885,0.06578378116878399,0.7034495385430316,60.643601700934965,15.201315312573191,15.162135000000001
OH_Three_Brothers_Creek-Grand_05,19,6.308636022972248,-4.606023639367412,9.346150311773464,0.10857004088862984,0.441,8.543273,50.323769,30.711969,0.023355577955389617,0.7386307118648868,119.59909854042486,42.816324302059776,42.716364999999996
SD_Willow_07,20,4.3036001338354835,4.251960618022005,3.5033199639894788,0.022433466408299293,0.632,360.193414,115.359357,433.056679,0.00040671525396263444,1.3981207073971258,2415.549223590928,2458.7226327436233,1800.96707
WI_Waumaundee_04,21,7.511221070932599,-2.9508929770701084,8.603426772044404,0.22025187915980307,0.609,9.137375,71.999853,52.953422,0.02164117141391163,0.9420165035270671,293.37343089089944,46.20821954938947,45.686875
huc_07030001_domain,22,7.342758550803773,-4.215133011815336,9.71707195383886,0.08666669113734281,0.218,23.225025,171.775263,60.638436,0.008600460747329853,0.8167363755398767,253.67711885206757,116.2728404185166,116.12512499999998
huc_07050002_domain,23,5.362217026808304,-1.6901538820913746,8.011959120001608,0.18402882477995286,0.285,22.056764,104.539654,51.828359,0.008918609459919508,0.7436189385580726,586.0498066216555,112.12510251671287,110.28382
huc_07070001_domain,24,3.00878337813275,2.187068160776628,3.895770769494262,0.12227059791391574,0.049,28.599399,646.631787,60.592685,0.004477461400553713,0.9193397423458617,473.03017394689704,223.34084217372222,142.99699499999997
huc_07070003_domain,25,7.1633280967008135,-3.2082258827600265,9.872696952261553,0.12973866044765103,0.313,47.777764,353.663289,158.444506,0.0041789366199325596,0.7857076383375348,813.0915534922342,239.29532580853981,238.88881999999998
huc_07080205_domain,26,7.419843339236989,-4.574197238158373,9.790440768436591,0.04935758354251464,0.386,25.258173,72.250074,53.173152,0.00791175329499142,0.8184809139191546,190.55391073546792,126.39423433906306,126.290865
huc_07090006_domain,27,7.245826381042211,-3.2285000207693644,8.63456937479547,0.03188252325540652,0.62,36.518859,44.030014,63.832717,0.005464718596576827,0.9079155459994457,229.79397732222236,182.99203926555583,182.594295
huc_07120003_domain,28,7.392957666446165,-3.838559274109898,8.465076479063637,0.04903552741039795,0.845,14.771207,24.937507,35.853594,0.013500521522980726,0.9434567188403296,105.19901929890234,74.07121260447529,73.85603499999999
huc_07120004_domain,29,7.311515520326928,-4.405823609196285,9.345782007583274,0.05577091329880008,0.6,18.238645,37.892195,40.974339,0.01095104098156878,0.8458444063373336,144.46700805223458,91.31551983807351,91.193225
huc_07130009_domain,30,6.597791577626668,-2.213562968879946,7.7375427274516335,0.033644284192450344,0.603,40.892918,41.428084,65.88329,0.004864737851940439,0.929515486089642,259.14890066407787,205.56092238374603,204.46459
